consumed,received,sum,balance,consume_type,transcation,pos
20131212,20131212,15.00,2835.00,0,4,GDUT_POS
20130902,20130902,160.00,2850.00,0,3,GDUT_POS
20130213,20130213,0.20,0.00,0,228,canteenB41pos03648944
20130213,20130213,0.20,0.00,0,228,canteenB41pos03648944
20130113,20130113,0.20,0.00,0,228,canteenB41pos03648944
20130113,20130113,0.20,0.00,0,228,canteenB41pos03648944
20130113,20130113,0.20,0.00,0,228,canteenB41pos03648944
20130212,20130212,0.10,0.20,0,848,storeA12pos05292677
20130212,20130212,0.10,0.20,0,848,storeA12pos05292677
20130112,20130112,0.10,0.20,0,848,storeA12pos05292677
20130112,20130112,0.10,0.20,0,848,storeA12pos05292677
20130112,20130112,0.10,0.20,0,848,storeA12pos05292677
20130211,20130211,0.10,0.30,0,567,canteenA33pos05532686
20130211,20130211,0.10,0.30,0,567,canteenA33pos05532686
20130111,20130111,0.10,0.30,0,567,canteenA33pos05532686
20130111,20130111,0.10,0.30,0,567,canteenA33pos05532686
20130111,20130111,0.10,0.30,0,567,canteenA33pos05532686
20130209,20130209,12.00,2.00,0,566,canteenA33pos05532686
20130209,20130209,12.00,2.00,0,566,canteenA33pos05532686
20130209,20130209,12.00,2.00,0,566,canteenA33pos05532686
20130109,20130109,12.00,2.00,0,566,canteenA33pos05532686
20130202,20130202,0.00,2910.00,0,1,GDUT_POS
20130109,20130109,12.00,2.00,0,566,canteenA33pos05532686
20120912,20120912,100.00,3010.00,1,2,GDUT_POS
20120911,20120911,100.00,3010.00,1,2,GDUT_POS
20120910,20120910,100.00,3010.00,1,2,GDUT_POS
20120909,20120909,100.00,3010.00,1,2,GDUT_POS
20120908,20120908,100.00,3010.00,1,2,GDUT_POS
20120907,20120907,100.00,3010.00,1,2,GDUT_POS
20120906,20120906,100.00,3010.00,1,2,GDUT_POS
20120905,20120905,100.00,3010.00,1,2,GDUT_POS
20120904,20120904,100.00,3010.00,1,2,GDUT_POS
20120903,20120903,100.00,3010.00,1,2,GDUT_POS
20120902,20120902,100.00,3010.00,1,2,GDUT_POS
20120901,20120901,100.00,3010.00,1,2,GDUT_POS
