consumed,received,sum,balance,consume_type,transcation,pos
20130622,20130622,10.00,2870.00,0,1,test machine
20130113,20130113,0.20,0.00,0,228,canteenB41pos03648944
20130112,20130112,0.10,0.20,0,848,storeA12pos05292677
20130111,20130111,0.10,0.30,0,567,canteenA33pos05532686
20130110,20130110,0.40,0.40,0,847,storeA12pos05292677
20130110,20130110,0.40,0.40,0,847,storeA12pos05292677
20130110,20130110,1.20,0.80,0,819,canteenB61pos09278746
20130110,20130110,1.20,0.80,0,819,canteenB61pos09278746
20130109,20130109,12.00,2.00,0,566,canteenA33pos05532686
20130622,20130622,10.00,2870.00,0,1,test machine
20130622,20130622,10.00,2910.00,0,2,test machine
20130622,20130622,10.00,2910.00,0,2,test machine
20130109,20130109,12.00,2.00,0,566,canteenA33pos05532686
20130109,20130109,12.00,2.00,0,566,canteenA33pos05532686
